Gender,Age,Yearly Household Income,Education Level,Region,Race,Partisanship,2024 Presidential Vote
Female,45-64,$50k-$100k,College degree or higher,Suburban,White,Republican,Kamala Harris
Male,45-64,$50k-$100k,All other,Suburban,Hispanic,Republican,Kamala Harris
Other,45-64,$50k-$100k,College degree or higher,Rural,White,Republican,Kamala Harris
Female,18-29,Below $50k,All other,Rural,White,Independent,Kamala Harris
Male,30-44,Below $50k,College degree or higher,Urban,White,Independent,Chase Oliver
Female,45-64,Below $50k,College degree or higher,Suburban,Black,Republican,Kamala Harris
Male,45-64,Below $50k,College degree or higher,Urban,White,Independent,Donald Trump
Male,45-64,$50k-$100k,All other,Suburban,White,Democrat,Kamala Harris
Male,30-44,Above $100k,All other,Suburban,White,Democrat,Donald Trump
Male,18-29,$50k-$100k,All other,Rural,White,Republican,Kamala Harris
Male,45-64,Above $100k,All other,Suburban,White,Republican,Donald Trump
Female,30-44,$50k-$100k,All other,Suburban,White,Republican,Donald Trump
Female,45-64,$50k-$100k,All other,Urban,White,Republican,Donald Trump
Male,18-29,$50k-$100k,All other,Urban,White,Democrat,Donald Trump
Male,45-64,Below $50k,College degree or higher,Suburban,Hispanic,Democrat,Donald Trump
Male,65+,Below $50k,College degree or higher,Suburban,White,Independent,Kamala Harris
Male,30-44,$50k-$100k,All other,Suburban,White,Independent,Donald Trump
Female,45-64,Above $100k,All other,Urban,Hispanic,Republican,Kamala Harris
Male,18-29,Below $50k,All other,Suburban,White,Republican,Kamala Harris
Female,45-64,Below $50k,All other,Suburban,White,Republican,Kamala Harris
Male,45-64,Above $100k,College degree or higher,Urban,Hispanic,Democrat,Kamala Harris
Female,45-64,Below $50k,All other,Rural,White,Republican,Donald Trump
Female,45-64,Above $100k,College degree or higher,Suburban,White,Independent,Donald Trump
Female,65+,$50k-$100k,All other,Suburban,Other,Republican,Kamala Harris
Female,30-44,Above $100k,All other,Urban,Asian,Democrat,Kamala Harris
Male,18-29,$50k-$100k,All other,Urban,White,Independent,Kamala Harris
Female,65+,$50k-$100k,All other,Suburban,White,Independent,Kamala Harris
Female,45-64,$50k-$100k,College degree or higher,Suburban,White,Democrat,Donald Trump
Female,65+,$50k-$100k,College degree or higher,Suburban,White,Republican,Kamala Harris
Female,45-64,$50k-$100k,All other,Suburban,White,Independent,Donald Trump
Female,65+,Below $50k,All other,Urban,White,Democrat,Kamala Harris
Female,45-64,$50k-$100k,College degree or higher,Suburban,Asian,Republican,Donald Trump
Male,45-64,$50k-$100k,All other,Rural,Hispanic,Republican,Kamala Harris
Male,65+,Above $100k,All other,Urban,White,Republican,Donald Trump
Male,45-64,Above $100k,College degree or higher,Suburban,White,Independent,Kamala Harris
Female,30-44,$50k-$100k,College degree or higher,Suburban,White,Republican,Don't know
Female,30-44,Below $50k,All other,Urban,White,Democrat,Donald Trump
Male,30-44,$50k-$100k,All other,Suburban,White,Democrat,Donald Trump
Male,30-44,$50k-$100k,All other,Rural,Black,Democrat,Donald Trump
Female,30-44,Above $100k,All other,Rural,White,Republican,Kamala Harris
Female,45-64,Above $100k,College degree or higher,Suburban,Hispanic,Independent,Donald Trump
Female,45-64,Below $50k,All other,Suburban,White,Democrat,Kamala Harris
Female,45-64,Above $100k,College degree or higher,Suburban,White,Republican,Donald Trump
Female,45-64,Below $50k,College degree or higher,Urban,White,Republican,Kamala Harris
Male,18-29,$50k-$100k,All other,Urban,White,Democrat,Kamala Harris
Male,18-29,$50k-$100k,All other,Rural,Hispanic,Republican,Kamala Harris
Male,30-44,Below $50k,College degree or higher,Urban,Black,Republican,Kamala Harris
Male,45-64,Above $100k,College degree or higher,Suburban,White,Republican,Donald Trump
Male,30-44,Below $50k,All other,Urban,White,Republican,Kamala Harris
Male,30-44,Below $50k,All other,Urban,White,Republican,Kamala Harris
Male,45-64,$50k-$100k,All other,Urban,Other,Independent,Kamala Harris
Female,65+,$50k-$100k,All other,Urban,Black,Republican,Donald Trump
Female,18-29,Above $100k,All other,Urban,White,Republican,Kamala Harris
Female,45-64,$50k-$100k,All other,Urban,White,Republican,Don't know
Male,45-64,$50k-$100k,College degree or higher,Urban,White,Democrat,Chase Oliver
Male,65+,$50k-$100k,College degree or higher,Urban,White,Republican,Kamala Harris
Female,65+,Below $50k,College degree or higher,Urban,White,Democrat,Donald Trump
Male,18-29,Below $50k,All other,Urban,White,Democrat,Donald Trump
Female,18-29,$50k-$100k,All other,Urban,Asian,Republican,Donald Trump
Male,65+,$50k-$100k,All other,Urban,White,Democrat,Donald Trump
Female,45-64,$50k-$100k,College degree or higher,Suburban,White,Republican,Donald Trump
Female,45-64,Above $100k,College degree or higher,Suburban,Hispanic,Democrat,Donald Trump
Female,45-64,$50k-$100k,College degree or higher,Suburban,White,Democrat,Kamala Harris
Female,45-64,Below $50k,College degree or higher,Urban,White,Independent,Cornel West
Female,65+,Below $50k,All other,Urban,White,Independent,Kamala Harris
Female,65+,Above $100k,All other,Rural,White,Democrat,Donald Trump
Male,45-64,$50k-$100k,All other,Suburban,White,Republican,Kamala Harris
Male,30-44,Above $100k,All other,Suburban,White,Democrat,Donald Trump
Female,65+,Below $50k,All other,Suburban,Black,Republican,Kamala Harris
Male,18-29,Above $100k,All other,Suburban,White,Republican,Kamala Harris
Male,30-44,Below $50k,College degree or higher,Rural,Black,Democrat,Donald Trump
Female,65+,Below $50k,All other,Suburban,White,Independent,Kamala Harris
Female,30-44,Above $100k,All other,Urban,Black,Democrat,Donald Trump
Female,30-44,Below $50k,All other,Urban,White,Democrat,Kamala Harris
Female,18-29,$50k-$100k,College degree or higher,Urban,White,Independent,Donald Trump
Male,65+,Below $50k,College degree or higher,Rural,White,Republican,Kamala Harris
Female,45-64,$50k-$100k,College degree or higher,Suburban,White,Republican,Donald Trump
Male,45-64,Above $100k,All other,Suburban,White,Republican,Kamala Harris
Male,30-44,Below $50k,All other,Rural,Hispanic,Republican,Kamala Harris
Female,45-64,$50k-$100k,All other,Rural,White,Republican,Kamala Harris
Male,65+,Below $50k,All other,Suburban,White,Republican,Kamala Harris
Female,30-44,$50k-$100k,College degree or higher,Suburban,White,Republican,Donald Trump
Male,45-64,$50k-$100k,All other,Suburban,Black,Republican,Kamala Harris
Female,30-44,Below $50k,All other,Suburban,White,Independent,Don't know
Male,65+,Below $50k,All other,Rural,Hispanic,Independent,Kamala Harris
Male,45-64,Below $50k,All other,Urban,Other,Republican,Donald Trump
Female,65+,Above $100k,College degree or higher,Suburban,White,Republican,Donald Trump
Male,30-44,$50k-$100k,College degree or higher,Rural,White,Republican,Kamala Harris
Male,65+,Below $50k,All other,Suburban,Black,Republican,Kamala Harris
Male,65+,$50k-$100k,All other,Suburban,White,Republican,Donald Trump
Male,45-64,Below $50k,All other,Rural,White,Independent,Kamala Harris
Male,65+,Above $100k,All other,Rural,Hispanic,Independent,Kamala Harris
Female,45-64,Above $100k,All other,Rural,Other,Independent,Donald Trump
Female,18-29,$50k-$100k,All other,Urban,Hispanic,Independent,Donald Trump
Male,45-64,Above $100k,All other,Rural,White,Independent,Kamala Harris
Female,45-64,$50k-$100k,All other,Suburban,White,Republican,Donald Trump
Male,45-64,Below $50k,College degree or higher,Urban,White,Independent,Donald Trump
Male,30-44,$50k-$100k,All other,Rural,White,Democrat,Donald Trump
Female,45-64,$50k-$100k,All other,Suburban,White,Democrat,Donald Trump
Female,30-44,$50k-$100k,All other,Rural,White,Republican,Kamala Harris
Male,45-64,Above $100k,All other,Urban,White,Independent,Donald Trump
Female,45-64,$50k-$100k,All other,Suburban,Black,Republican,Donald Trump
Male,45-64,Above $100k,All other,Urban,Black,Democrat,Kamala Harris
Female,30-44,Above $100k,College degree or higher,Suburban,Hispanic,Republican,Donald Trump
Male,45-64,$50k-$100k,All other,Urban,White,Republican,Donald Trump
Female,30-44,$50k-$100k,All other,Suburban,White,Democrat,Kamala Harris
Male,30-44,Below $50k,All other,Rural,Black,Independent,Kamala Harris
Female,65+,Above $100k,College degree or higher,Suburban,White,Independent,Donald Trump
Male,65+,$50k-$100k,College degree or higher,Suburban,White,Independent,Donald Trump
Female,30-44,Below $50k,College degree or higher,Suburban,White,Democrat,Kamala Harris
Male,45-64,Below $50k,All other,Rural,White,Democrat,Kamala Harris
Male,65+,$50k-$100k,College degree or higher,Urban,White,Republican,Donald Trump
Female,65+,Below $50k,All other,Urban,Hispanic,Republican,Donald Trump
Female,30-44,Below $50k,College degree or higher,Urban,Hispanic,Democrat,Donald Trump
Female,65+,$50k-$100k,College degree or higher,Urban,White,Independent,Kamala Harris
Male,30-44,$50k-$100k,College degree or higher,Suburban,White,Republican,Donald Trump
Male,30-44,$50k-$100k,College degree or higher,Urban,Hispanic,Independent,Kamala Harris
Male,18-29,Below $50k,All other,Suburban,White,Independent,Kamala Harris
Female,45-64,Below $50k,All other,Rural,White,Democrat,Kamala Harris
Female,18-29,$50k-$100k,All other,Rural,Hispanic,Independent,Don't know
Male,30-44,$50k-$100k,College degree or higher,Suburban,Black,Independent,Donald Trump
Female,30-44,Below $50k,College degree or higher,Suburban,Hispanic,Republican,Kamala Harris
Male,65+,Below $50k,All other,Rural,White,Republican,Donald Trump
Female,65+,$50k-$100k,All other,Suburban,White,Republican,Donald Trump
Male,30-44,Below $50k,College degree or higher,Suburban,Hispanic,Democrat,Donald Trump
Female,65+,Below $50k,All other,Suburban,White,Republican,Donald Trump
Female,65+,Below $50k,All other,Urban,Black,Democrat,Kamala Harris
Male,65+,Above $100k,College degree or higher,Rural,White,Republican,Kamala Harris
Male,18-29,Above $100k,All other,Suburban,Hispanic,Democrat,Jill Stein
Male,45-64,Above $100k,College degree or higher,Suburban,White,Democrat,Donald Trump
Female,65+,$50k-$100k,All other,Urban,White,Republican,Kamala Harris
Female,45-64,$50k-$100k,College degree or higher,Urban,White,Republican,Donald Trump
Male,30-44,$50k-$100k,All other,Suburban,White,Republican,Donald Trump
Male,45-64,$50k-$100k,College degree or higher,Suburban,White,Democrat,Kamala Harris
Female,45-64,Below $50k,All other,Rural,White,Independent,Donald Trump
Female,45-64,$50k-$100k,College degree or higher,Rural,Hispanic,Republican,Kamala Harris
Female,18-29,Above $100k,All other,Rural,White,Democrat,Donald Trump
Male,30-44,$50k-$100k,All other,Rural,White,Republican,Donald Trump
Female,65+,$50k-$100k,All other,Suburban,White,Republican,Kamala Harris
Female,65+,Below $50k,All other,Suburban,Hispanic,Democrat,Cornel West
Female,18-29,$50k-$100k,All other,Suburban,White,Republican,Donald Trump
Female,65+,$50k-$100k,College degree or higher,Suburban,White,Independent,Kamala Harris
Female,30-44,Above $100k,College degree or higher,Rural,Hispanic,Independent,Kamala Harris
Male,45-64,$50k-$100k,All other,Rural,White,Democrat,Donald Trump
Female,45-64,Above $100k,College degree or higher,Urban,White,Independent,Kamala Harris
Male,65+,$50k-$100k,All other,Suburban,White,Republican,Donald Trump
Female,65+,Above $100k,College degree or higher,Rural,Black,Independent,Donald Trump
Male,30-44,$50k-$100k,All other,Rural,White,Democrat,Donald Trump
Male,65+,$50k-$100k,All other,Suburban,Hispanic,Republican,Kamala Harris
Male,18-29,$50k-$100k,All other,Rural,Hispanic,Republican,Donald Trump
Male,45-64,Above $100k,All other,Suburban,White,Democrat,Donald Trump
Female,45-64,Above $100k,College degree or higher,Suburban,Black,Independent,Donald Trump
Female,45-64,Below $50k,All other,Urban,White,Republican,Donald Trump
Male,30-44,Below $50k,College degree or higher,Urban,White,Democrat,Donald Trump
Other,65+,Above $100k,All other,Suburban,White,Republican,Kamala Harris
Male,30-44,$50k-$100k,All other,Suburban,Hispanic,Republican,Donald Trump
Male,18-29,$50k-$100k,All other,Rural,White,Democrat,Donald Trump
Male,45-64,$50k-$100k,College degree or higher,Urban,White,Independent,Kamala Harris
Female,45-64,Below $50k,College degree or higher,Urban,White,Independent,Kamala Harris
Female,65+,Above $100k,College degree or higher,Suburban,White,Democrat,Donald Trump
Male,45-64,Above $100k,College degree or higher,Suburban,White,Republican,Donald Trump
Male,30-44,Below $50k,College degree or higher,Suburban,White,Democrat,Donald Trump
Female,65+,Below $50k,All other,Suburban,White,Independent,Kamala Harris
Male,45-64,Above $100k,College degree or higher,Suburban,White,Independent,Donald Trump
Female,30-44,Below $50k,All other,Suburban,White,Republican,Donald Trump
Male,45-64,Above $100k,All other,Urban,White,Independent,Donald Trump
Female,45-64,Below $50k,All other,Suburban,Hispanic,Republican,Donald Trump
Female,45-64,$50k-$100k,College degree or higher,Rural,Other,Republican,Kamala Harris
Male,45-64,Above $100k,College degree or higher,Suburban,White,Independent,Donald Trump
Female,65+,$50k-$100k,All other,Urban,White,Republican,Donald Trump
Male,65+,$50k-$100k,College degree or higher,Suburban,Other,Republican,Kamala Harris
Male,45-64,$50k-$100k,All other,Urban,Black,Republican,Kamala Harris
Male,18-29,$50k-$100k,College degree or higher,Suburban,White,Democrat,Donald Trump
Female,65+,Below $50k,All other,Rural,White,Democrat,Donald Trump
Female,45-64,Above $100k,All other,Rural,White,Independent,Donald Trump
Female,45-64,Above $100k,All other,Urban,White,Republican,Donald Trump
Other,30-44,$50k-$100k,College degree or higher,Suburban,White,Independent,Donald Trump
Male,65+,$50k-$100k,College degree or higher,Urban,Hispanic,Democrat,Donald Trump
Male,45-64,Below $50k,All other,Urban,White,Republican,Kamala Harris
Male,18-29,Below $50k,All other,Suburban,White,Independent,Don't know
Male,45-64,$50k-$100k,College degree or higher,Urban,Hispanic,Democrat,Kamala Harris
Male,65+,Above $100k,College degree or higher,Rural,Black,Democrat,Donald Trump
Female,18-29,$50k-$100k,College degree or higher,Urban,Hispanic,Republican,Kamala Harris
Male,65+,Above $100k,All other,Rural,Other,Republican,Kamala Harris
Female,45-64,Below $50k,College degree or higher,Rural,White,Democrat,Kamala Harris
Male,45-64,$50k-$100k,All other,Rural,Asian,Independent,Kamala Harris
Male,30-44,Below $50k,All other,Suburban,Black,Independent,Kamala Harris
Male,30-44,$50k-$100k,All other,Urban,White,Republican,Donald Trump
Female,65+,Below $50k,All other,Rural,White,Independent,Donald Trump
Female,30-44,Above $100k,All other,Urban,White,Independent,Donald Trump
Female,65+,Below $50k,All other,Rural,Hispanic,Independent,Donald Trump
Female,45-64,Above $100k,College degree or higher,Suburban,White,Democrat,Donald Trump
Female,18-29,$50k-$100k,College degree or higher,Suburban,White,Democrat,Kamala Harris
Male,18-29,Above $100k,All other,Suburban,White,Democrat,Kamala Harris
Male,45-64,$50k-$100k,All other,Suburban,White,Democrat,Jill Stein
Female,65+,Above $100k,All other,Suburban,White,Democrat,Donald Trump
Female,30-44,Below $50k,College degree or higher,Urban,White,Republican,Donald Trump
Female,30-44,Above $100k,All other,Suburban,Hispanic,Democrat,Kamala Harris
Male,30-44,Above $100k,College degree or higher,Urban,White,Democrat,Blank/null/won't vote
Female,45-64,Below $50k,All other,Urban,White,Republican,Kamala Harris
Male,45-64,Below $50k,College degree or higher,Suburban,White,Democrat,Donald Trump
Female,65+,$50k-$100k,All other,Suburban,White,Independent,Donald Trump
Other,45-64,Above $100k,College degree or higher,Urban,White,Democrat,Donald Trump
Male,45-64,$50k-$100k,College degree or higher,Urban,White,Independent,Kamala Harris
Female,18-29,$50k-$100k,All other,Rural,White,Independent,Kamala Harris
Male,65+,Below $50k,College degree or higher,Rural,White,Independent,Donald Trump
Female,30-44,Below $50k,All other,Rural,White,Independent,Kamala Harris
Male,18-29,Above $100k,All other,Urban,White,Independent,Kamala Harris
Female,45-64,Below $50k,All other,Rural,White,Democrat,Blank/null/won't vote
Male,45-64,$50k-$100k,College degree or higher,Rural,White,Independent,Don't know
Male,45-64,Above $100k,All other,Rural,White,Independent,Donald Trump
Male,45-64,Below $50k,All other,Suburban,Hispanic,Independent,Donald Trump
Male,65+,$50k-$100k,All other,Rural,Black,Republican,Kamala Harris
Female,30-44,Below $50k,All other,Urban,White,Republican,Chase Oliver
Female,65+,$50k-$100k,All other,Rural,White,Republican,Chase Oliver
Female,45-64,Below $50k,College degree or higher,Suburban,White,Republican,Kamala Harris
Female,45-64,Above $100k,College degree or higher,Suburban,White,Independent,Donald Trump
Male,45-64,Below $50k,College degree or higher,Suburban,Hispanic,Democrat,Donald Trump
Female,30-44,$50k-$100k,College degree or higher,Suburban,Hispanic,Republican,Kamala Harris
Male,45-64,$50k-$100k,All other,Suburban,Hispanic,Republican,Kamala Harris
Male,45-64,Below $50k,All other,Rural,Hispanic,Democrat,Kamala Harris
Male,30-44,Above $100k,College degree or higher,Suburban,Black,Democrat,Donald Trump
Female,45-64,Below $50k,All other,Suburban,White,Democrat,Kamala Harris
Male,65+,$50k-$100k,All other,Suburban,White,Republican,Kamala Harris
Male,45-64,Below $50k,All other,Urban,Hispanic,Republican,Donald Trump
Female,65+,$50k-$100k,All other,Suburban,White,Democrat,Donald Trump
Male,30-44,Below $50k,All other,Suburban,White,Independent,Kamala Harris
Male,18-29,$50k-$100k,College degree or higher,Urban,White,Independent,Jill Stein
Female,30-44,Below $50k,College degree or higher,Urban,Hispanic,Independent,Donald Trump
Female,45-64,Above $100k,College degree or higher,Suburban,White,Democrat,Donald Trump
Female,30-44,Below $50k,All other,Suburban,White,Republican,Donald Trump
Female,18-29,Above $100k,College degree or higher,Suburban,Other,Republican,Donald Trump
Female,65+,Above $100k,All other,Rural,Black,Independent,Donald Trump
Female,65+,Below $50k,College degree or higher,Suburban,Other,Independent,Kamala Harris
Female,45-64,$50k-$100k,All other,Urban,White,Republican,Donald Trump
Female,30-44,Below $50k,College degree or higher,Suburban,White,Independent,Kamala Harris
Male,18-29,$50k-$100k,College degree or higher,Urban,Hispanic,Democrat,Donald Trump
Male,18-29,$50k-$100k,College degree or higher,Suburban,White,Democrat,Donald Trump
Male,45-64,$50k-$100k,College degree or higher,Suburban,White,Independent,Kamala Harris
Female,65+,$50k-$100k,College degree or higher,Urban,White,Democrat,Kamala Harris
Female,45-64,Below $50k,All other,Suburban,White,Democrat,Donald Trump
Female,18-29,$50k-$100k,College degree or higher,Suburban,White,Independent,Kamala Harris
Female,45-64,Below $50k,College degree or higher,Urban,White,Democrat,Donald Trump
Female,30-44,$50k-$100k,All other,Rural,White,Republican,Donald Trump
Male,30-44,$50k-$100k,College degree or higher,Suburban,Hispanic,Independent,Kamala Harris
Female,45-64,$50k-$100k,All other,Urban,White,Democrat,Kamala Harris
Male,45-64,Below $50k,All other,Rural,White,Democrat,Donald Trump
Male,18-29,Below $50k,College degree or higher,Rural,White,Democrat,Donald Trump
Female,18-29,$50k-$100k,College degree or higher,Urban,White,Democrat,Kamala Harris
Female,65+,Below $50k,College degree or higher,Urban,Hispanic,Democrat,Donald Trump
Male,30-44,$50k-$100k,All other,Suburban,White,Democrat,Kamala Harris
Female,18-29,Above $100k,All other,Urban,Hispanic,Republican,Donald Trump
Female,30-44,Above $100k,All other,Suburban,White,Democrat,Kamala Harris
Other,18-29,$50k-$100k,All other,Suburban,White,Independent,Donald Trump
Female,45-64,$50k-$100k,College degree or higher,Suburban,White,Independent,Don't know
Male,65+,Below $50k,All other,Suburban,White,Independent,Donald Trump
Male,30-44,Above $100k,All other,Urban,White,Republican,Kamala Harris
Female,45-64,Below $50k,All other,Urban,White,Democrat,Donald Trump
Female,45-64,Above $100k,All other,Urban,White,Independent,Donald Trump
Female,45-64,$50k-$100k,All other,Suburban,Hispanic,Republican,Donald Trump
Female,65+,$50k-$100k,College degree or higher,Suburban,Black,Democrat,Kamala Harris
Female,65+,Above $100k,College degree or higher,Urban,White,Independent,Donald Trump
Male,18-29,Below $50k,All other,Rural,White,Republican,Donald Trump
Female,65+,$50k-$100k,College degree or higher,Suburban,White,Democrat,Donald Trump
Female,45-64,$50k-$100k,All other,Suburban,Other,Independent,Blank/null/won't vote
Other,65+,Below $50k,College degree or higher,Rural,White,Independent,Donald Trump
Male,45-64,$50k-$100k,All other,Suburban,White,Republican,Donald Trump
Male,65+,$50k-$100k,All other,Rural,White,Republican,Kamala Harris
Female,45-64,Above $100k,College degree or higher,Urban,White,Republican,Kamala Harris
Male,30-44,Below $50k,All other,Suburban,White,Independent,Donald Trump
Male,45-64,Above $100k,All other,Suburban,White,Democrat,Kamala Harris
Female,65+,Below $50k,All other,Suburban,Hispanic,Republican,Donald Trump
Female,65+,Below $50k,College degree or higher,Suburban,Black,Independent,Donald Trump
Male,18-29,Below $50k,College degree or higher,Rural,White,Democrat,Kamala Harris
Female,45-64,Below $50k,College degree or higher,Urban,White,Independent,Kamala Harris
Female,30-44,Below $50k,College degree or higher,Urban,White,Independent,Donald Trump
Female,18-29,Above $100k,All other,Rural,Asian,Democrat,Donald Trump
Female,45-64,Below $50k,All other,Suburban,Hispanic,Independent,Donald Trump
Male,30-44,Below $50k,All other,Urban,White,Democrat,Kamala Harris
Male,65+,Below $50k,All other,Urban,White,Independent,Kamala Harris
Male,30-44,$50k-$100k,All other,Rural,White,Independent,Donald Trump
Female,65+,Above $100k,All other,Suburban,White,Democrat,Kamala Harris
Female,18-29,Below $50k,All other,Urban,White,Independent,Donald Trump
Female,30-44,Below $50k,All other,Rural,Other,Independent,Kamala Harris
Female,30-44,Below $50k,All other,Suburban,White,Republican,Donald Trump
Female,30-44,Below $50k,College degree or higher,Suburban,White,Democrat,Kamala Harris
Male,18-29,Below $50k,College degree or higher,Urban,Hispanic,Democrat,Donald Trump
Female,30-44,$50k-$100k,All other,Suburban,White,Republican,Jill Stein
Male,45-64,Below $50k,All other,Urban,Asian,Independent,Donald Trump
Female,30-44,$50k-$100k,All other,Rural,White,Independent,Donald Trump
Female,45-64,Below $50k,All other,Urban,Asian,Republican,Kamala Harris
Female,30-44,Above $100k,College degree or higher,Urban,White,Republican,Donald Trump
Male,65+,Above $100k,All other,Urban,White,Democrat,Donald Trump
Male,65+,$50k-$100k,College degree or higher,Suburban,White,Democrat,Kamala Harris
Male,45-64,$50k-$100k,All other,Suburban,White,Republican,Kamala Harris
Female,30-44,$50k-$100k,All other,Rural,White,Republican,Donald Trump
Female,18-29,$50k-$100k,College degree or higher,Urban,Other,Republican,Donald Trump
Male,65+,Above $100k,All other,Suburban,Hispanic,Independent,Donald Trump
Female,18-29,$50k-$100k,All other,Suburban,White,Republican,Don't know
Male,30-44,Above $100k,College degree or higher,Urban,White,Republican,Donald Trump
Female,30-44,Above $100k,All other,Urban,Black,Democrat,Donald Trump
Female,30-44,$50k-$100k,All other,Rural,Black,Independent,Kamala Harris
Female,30-44,$50k-$100k,All other,Suburban,White,Independent,Donald Trump
Female,65+,Below $50k,College degree or higher,Rural,Hispanic,Independent,Donald Trump
Male,18-29,Below $50k,College degree or higher,Urban,White,Republican,Don't know
Female,45-64,$50k-$100k,All other,Urban,White,Republican,Donald Trump
Female,18-29,Below $50k,College degree or higher,Urban,White,Republican,Kamala Harris
Female,18-29,Above $100k,All other,Suburban,Black,Democrat,Kamala Harris
Female,65+,Below $50k,College degree or higher,Rural,White,Republican,Donald Trump
Male,30-44,$50k-$100k,All other,Suburban,White,Independent,Donald Trump
Male,65+,$50k-$100k,All other,Suburban,White,Democrat,Kamala Harris
Male,45-64,$50k-$100k,College degree or higher,Rural,White,Democrat,Kamala Harris
Male,18-29,$50k-$100k,College degree or higher,Urban,White,Independent,Donald Trump
Female,65+,Above $100k,All other,Rural,White,Democrat,Donald Trump
Male,30-44,$50k-$100k,All other,Urban,White,Republican,Kamala Harris
Female,65+,$50k-$100k,College degree or higher,Suburban,White,Independent,Donald Trump
Female,30-44,Below $50k,All other,Rural,Hispanic,Democrat,Kamala Harris
Male,65+,$50k-$100k,College degree or higher,Suburban,White,Independent,Kamala Harris
Female,18-29,Above $100k,All other,Rural,Black,Republican,Donald Trump
Male,45-64,$50k-$100k,All other,Suburban,White,Independent,Kamala Harris
Female,65+,Above $100k,College degree or higher,Rural,White,Independent,Kamala Harris
Male,65+,$50k-$100k,All other,Suburban,White,Independent,Donald Trump
Male,65+,Below $50k,College degree or higher,Urban,White,Democrat,Kamala Harris
Male,65+,Below $50k,College degree or higher,Rural,White,Democrat,Kamala Harris
Male,65+,Below $50k,College degree or higher,Urban,Hispanic,Democrat,Donald Trump
Male,30-44,$50k-$100k,All other,Urban,Asian,Republican,Donald Trump
Female,30-44,Above $100k,All other,Rural,White,Independent,Kamala Harris
Male,30-44,Below $50k,All other,Urban,White,Republican,Kamala Harris
Female,30-44,$50k-$100k,College degree or higher,Rural,Other,Independent,Don't know
Male,45-64,$50k-$100k,College degree or higher,Suburban,White,Democrat,Kamala Harris
Female,45-64,$50k-$100k,All other,Suburban,White,Republican,Donald Trump
Male,18-29,Below $50k,College degree or higher,Suburban,Other,Independent,Kamala Harris
Female,45-64,Below $50k,All other,Suburban,Other,Republican,Donald Trump
Female,30-44,Below $50k,College degree or higher,Suburban,White,Independent,Donald Trump
Male,30-44,Below $50k,All other,Urban,White,Democrat,Donald Trump
Female,45-64,Below $50k,College degree or higher,Suburban,White,Independent,Kamala Harris
Female,65+,Below $50k,All other,Suburban,Hispanic,Republican,Donald Trump
Female,45-64,$50k-$100k,College degree or higher,Suburban,Hispanic,Independent,Donald Trump
Male,45-64,Below $50k,College degree or higher,Rural,White,Democrat,Donald Trump
Male,18-29,Above $100k,College degree or higher,Urban,Black,Republican,Donald Trump
Female,45-64,Below $50k,College degree or higher,Suburban,Black,Independent,Jill Stein
Female,18-29,$50k-$100k,College degree or higher,Rural,White,Independent,Don't know
Female,30-44,$50k-$100k,All other,Suburban,Hispanic,Democrat,Kamala Harris
Male,45-64,Below $50k,All other,Rural,White,Democrat,Kamala Harris
Male,18-29,Above $100k,All other,Urban,White,Republican,Kamala Harris
Female,30-44,Below $50k,All other,Suburban,White,Democrat,Kamala Harris
Female,65+,Above $100k,All other,Urban,Black,Independent,Kamala Harris
Female,65+,Above $100k,College degree or higher,Urban,White,Democrat,Donald Trump
Male,30-44,$50k-$100k,All other,Suburban,White,Republican,Donald Trump
Male,18-29,$50k-$100k,College degree or higher,Rural,Black,Republican,Donald Trump
Female,30-44,$50k-$100k,All other,Suburban,White,Republican,Donald Trump
Female,45-64,$50k-$100k,College degree or higher,Suburban,Asian,Independent,Donald Trump
Female,65+,$50k-$100k,College degree or higher,Suburban,White,Independent,Kamala Harris
Male,18-29,Below $50k,All other,Suburban,White,Democrat,Kamala Harris
Female,65+,Below $50k,College degree or higher,Suburban,White,Independent,Donald Trump
Male,18-29,$50k-$100k,All other,Rural,Hispanic,Democrat,Donald Trump
Male,65+,$50k-$100k,All other,Suburban,White,Republican,Kamala Harris
Female,45-64,Above $100k,College degree or higher,Suburban,White,Democrat,Donald Trump
Female,65+,Below $50k,College degree or higher,Urban,Black,Democrat,Donald Trump
Female,30-44,Above $100k,All other,Rural,White,Democrat,Kamala Harris
Male,45-64,Below $50k,All other,Rural,Other,Republican,Donald Trump
Male,30-44,$50k-$100k,College degree or higher,Urban,Hispanic,Independent,Kamala Harris
Male,18-29,Below $50k,All other,Rural,White,Independent,Kamala Harris
Male,65+,$50k-$100k,All other,Rural,White,Independent,Kamala Harris
Female,65+,Below $50k,College degree or higher,Rural,White,Republican,Donald Trump
Male,65+,$50k-$100k,College degree or higher,Urban,White,Democrat,Donald Trump
Male,45-64,Above $100k,All other,Suburban,Hispanic,Democrat,Donald Trump
Female,65+,$50k-$100k,College degree or higher,Suburban,Other,Democrat,Donald Trump
Male,18-29,$50k-$100k,All other,Urban,White,Democrat,Kamala Harris
Male,30-44,Above $100k,College degree or higher,Suburban,White,Republican,Kamala Harris
Male,30-44,$50k-$100k,All other,Suburban,White,Republican,Cornel West
Male,45-64,$50k-$100k,All other,Urban,White,Republican,Kamala Harris
Male,30-44,Below $50k,All other,Rural,White,Democrat,Donald Trump
Male,18-29,Above $100k,College degree or higher,Suburban,White,Democrat,Kamala Harris
Female,45-64,$50k-$100k,College degree or higher,Urban,White,Democrat,Donald Trump
